host_id,property_id,room_type,price,cleaning_fee,availability_next_30,availability_next_60,availability_next_90,reviews_per_month,review_scores_rating,review_scores_location,cancellation_policy,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,ordinal_rating,available,Years_host
140893245,11786,Entire home/apt,115.0,45.0,11,12,12,1.17,96.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,65.0,Lisboa,38.71518,-9.14054,Apartment,4 Stars,Green,3
121021888,11787,Entire home/apt,120.0,35.0,11,35,65,0.61,91.0,10.0,strict_14_with_grace_period,2017,within an hour,83%,1,4.0,Sintra,38.79698,-9.38976,Apartment,3 Stars,Green,3
139112960,11788,Entire home/apt,74.0,7.0,6,14,42,5.63,95.0,10.0,moderate,2017,within an hour,100%,1,4.0,Lisboa,38.71133,-9.127880000000001,Apartment,3 Stars,Yellow,3
127314813,11789,Entire home/apt,130.0,35.0,26,34,61,0.61,96.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,1,16.0,Mafra,38.96192,-9.41752,Apartment,4 Stars,Green,3
140911421,11790,Entire home/apt,200.0,70.0,5,5,16,0.22,100.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,2.0,Mafra,38.92014,-9.35088,House,5 Stars,Yellow,3
140919971,11791,Entire home/apt,72.0,25.0,2,3,6,4.48,92.0,10.0,moderate,2017,within an hour,100%,0,3.0,Lisboa,38.716440000000006,-9.13747,Apartment,3 Stars,Yellow,3
140919971,11792,Entire home/apt,80.0,30.0,3,3,4,4.35,94.0,9.0,moderate,2017,within an hour,100%,0,3.0,Lisboa,38.715759999999996,-9.13895,Apartment,3 Stars,Yellow,3
140936667,11793,Entire home/apt,110.0,40.0,4,14,44,1.17,94.0,9.0,moderate,2017,within an hour,100%,1,1.0,Lisboa,38.69978,-9.19488,Apartment,3 Stars,Yellow,3
29202743,11794,Entire home/apt,85.0,0.0,0,18,48,0.43,93.0,10.0,strict_14_with_grace_period,2015,within an hour,100%,1,17.0,Lisboa,38.734140000000004,-9.14214,Apartment,3 Stars,Red,5
140957801,11795,Private room,65.0,0.0,0,24,54,0.88,94.0,10.0,flexible,2017,a few days or more,0%,0,1.0,Lisboa,38.718720000000005,-9.13007,Apartment,3 Stars,Red,3
140958093,11796,Entire home/apt,113.0,25.0,8,37,67,5.74,88.0,10.0,moderate,2017,within an hour,92%,0,1.0,Lisboa,38.71328,-9.14441,Apartment,2 Stars,Green,3
3495310,11797,Entire home/apt,224.0,52.0,3,14,32,3.59,99.0,10.0,strict_14_with_grace_period,2012,within an hour,100%,1,1.0,Lisboa,38.71094,-9.14517,Loft,4 Stars,Yellow,8
140971891,11798,Entire home/apt,105.0,35.0,5,7,18,2.16,98.0,10.0,moderate,2017,within an hour,100%,1,1.0,Lisboa,38.71293,-9.15072,Apartment,4 Stars,Yellow,3
20125666,11799,Entire home/apt,109.0,30.0,0,0,0,0.82,92.0,9.0,strict_14_with_grace_period,2014,within an hour,93%,0,10.0,Lisboa,38.79257,-9.09941,Apartment,3 Stars,Red,6
102635852,11800,Private room,25.0,5.0,1,2,2,0.56,100.0,10.0,flexible,2016,a few days or more,0%,1,1.0,Amadora,38.75202,-9.225660000000001,Apartment,5 Stars,Yellow,4
140993406,11801,Entire home/apt,75.0,30.0,29,59,89,0.55,85.0,8.0,flexible,2017,a few days or more,0%,0,1.0,Lisboa,38.73342,-9.12856,Apartment,2 Stars,Green,3
32329533,11802,Private room,29.0,10.0,18,48,78,2.21,97.0,9.0,moderate,2015,within a few hours,90%,1,2.0,Lisboa,38.730909999999994,-9.1336,Apartment,4 Stars,Green,5
140994800,11803,Private room,45.0,15.0,0,0,0,3.78,95.0,10.0,flexible,2017,a few days or more,0%,0,1.0,Lisboa,38.715959999999995,-9.144860000000001,Apartment,3 Stars,Red,3
141008330,11804,Entire home/apt,108.0,39.0,7,12,30,0.87,92.0,9.0,moderate,2017,within an hour,100%,1,2.0,Cascais,38.71134,-9.43253,Apartment,3 Stars,Yellow,3
3321222,11805,Entire home/apt,155.0,60.0,20,25,37,0.52,100.0,9.0,strict_14_with_grace_period,2012,within an hour,100%,0,4.0,Sintra,38.82786,-9.46937,Apartment,5 Stars,Green,8
141098761,11806,Entire home/apt,130.0,30.0,15,45,75,0.43,80.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,2.0,Lisboa,38.716409999999996,-9.15015,Apartment,1 Star,Green,3
141106385,11807,Entire home/apt,135.0,35.0,19,49,79,0.57,97.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,2.0,Lisboa,38.70946,-9.14917,Apartment,4 Stars,Green,3
141106385,11808,Entire home/apt,155.0,35.0,7,28,58,0.26,97.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,2.0,Lisboa,38.70861,-9.15046,Apartment,4 Stars,Yellow,3
9774669,11810,Entire home/apt,70.0,20.0,10,27,40,4.4,97.0,10.0,moderate,2013,within an hour,100%,1,3.0,Lisboa,38.71236,-9.12839,Apartment,4 Stars,Green,7
141121552,11811,Private room,31.0,0.0,0,0,0,0.13,100.0,8.0,flexible,2017,a few days or more,0%,0,52.0,Lisboa,38.76684,-9.158719999999999,Guesthouse,5 Stars,Red,3
141121552,11812,Private room,42.0,0.0,0,0,0,0.1,100.0,10.0,flexible,2017,a few days or more,0%,0,52.0,Lisboa,38.766690000000004,-9.1591,Guesthouse,5 Stars,Red,3
